X : 1 if unit j processes task i starting at time t
    Size=2420, Index=X_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
     ('T1', 'U3', 65) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 66) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 67) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 68) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 69) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 70) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 71) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 72) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 73) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 74) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 75) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 76) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 77) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 78) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 79) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 80) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 81) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 82) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 83) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 84) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 85) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 86) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 87) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 88) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 89) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 90) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 91) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 92) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 93) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 94) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 95) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 96) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 97) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 98) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U3', 99) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 100) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 101) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 102) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 103) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 104) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 105) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 106) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 107) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 108) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 109) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 110) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 111) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 112) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 113) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 114) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 115) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 116) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 117) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 118) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 119) :     0 :  None :     1 : False :  True : Binary
    ('T1', 'U3', 120) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 0) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 1) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 2) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 3) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 4) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 5) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 6) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 7) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 8) :     0 :  None :     1 : False :  True : Binary
      ('T1', 'U4', 9) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U4', 10) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U4', 11) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U4', 12) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U4', 13) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U4', 14) :     0 :  None :     1 : False :  True : Binary
     ('T1', 'U4', 15) :     0 :  None :     1 : False :  True : Binary
