varTime : Variable processing time for units that consider dynamics [h]
    Size=6, Index=varTime_index
    Key               : Lower : Value              : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :     0 : 2.1366220886694554 :   4.0 : False : False : NonNegativeReals
    ('R1', 'R_small') :     0 :  2.229415319435358 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_large') :     0 :  2.855647459862502 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_small') :     0 :  2.918142248015307 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_large') :     0 :   1.59171125845289 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_small') :     0 : 1.6758576983912659 :   4.0 : False : False : NonNegativeReals

Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R1', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R2', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R2', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R3', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R3', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=273, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value                : Upper : Fixed : Stale : Domain
         (0.4, 'B') :  0.05 :  0.15074610545264386 :   1.0 : False : False : NonNegativeReals
         (0.4, 'C') :  0.05 :    0.150746105452644 :   1.0 : False : False : NonNegativeReals
         (0.4, 'D') :   0.0 :   1.6985077890947904 :   1.9 : False : False : NonNegativeReals
    (0.405168, 'B') :  0.05 :  0.14783769429233895 :   1.0 : False : False : NonNegativeReals
    (0.405168, 'C') :  0.05 :  0.14783769429233903 :   1.0 : False : False : NonNegativeReals
    (0.405168, 'D') :   0.0 :   1.7043246114154005 :   1.9 : False : False : NonNegativeReals
    (0.421498, 'B') :  0.05 :  0.13925678705577135 :   1.0 : False : False : NonNegativeReals
    (0.421498, 'C') :  0.05 :  0.13925678705577144 :   1.0 : False : False : NonNegativeReals
    (0.421498, 'D') :   0.0 :   1.7214864258885343 :   1.9 : False : False : NonNegativeReals
    (0.433333, 'B') :  0.05 :  0.13356697433919298 :   1.0 : False : False : NonNegativeReals
    (0.433333, 'C') :  0.05 :  0.13356697433919304 :   1.0 : False : False : NonNegativeReals
    (0.433333, 'D') :   0.0 :   1.7328660513216885 :   1.9 : False : False : NonNegativeReals
    (0.438501, 'B') :  0.05 :  0.13120936938057223 :   1.0 : False : False : NonNegativeReals
    (0.438501, 'C') :  0.05 :  0.13120936938057232 :   1.0 : False : False : NonNegativeReals
    (0.438501, 'D') :   0.0 :   1.7375812612389303 :   1.9 : False : False : NonNegativeReals
    (0.454832, 'B') :  0.05 :  0.12422333414454531 :   1.0 : False : False : NonNegativeReals
    (0.454832, 'C') :  0.05 :  0.12422333414454537 :   1.0 : False : False : NonNegativeReals
    (0.454832, 'D') :   0.0 :   1.7515533317109824 :   1.9 : False : False : NonNegativeReals
    (0.466667, 'B') :  0.05 :   0.1195644948848224 :   1.0 : False : False : NonNegativeReals
    (0.466667, 'C') :  0.05 :  0.11956449488482244 :   1.0 : False : False : NonNegativeReals
    (0.466667, 'D') :   0.0 :   1.7608710102304255 :   1.9 : False : False : NonNegativeReals
    (0.471835, 'B') :  0.05 :  0.11762764585178324 :   1.0 : False : False : NonNegativeReals
    (0.471835, 'C') :  0.05 :   0.1176276458517833 :   1.0 : False : False : NonNegativeReals
    (0.471835, 'D') :   0.0 :   1.7647447082965038 :   1.9 : False : False : NonNegativeReals
    (0.488165, 'B') :  0.05 :  0.11186488689364087 :   1.0 : False : False : NonNegativeReals
    (0.488165, 'C') :  0.05 :  0.11186488689364094 :   1.0 : False : False : NonNegativeReals
    (0.488165, 'D') :   0.0 :    1.776270226212787 :   1.9 : False : False : NonNegativeReals
         (0.5, 'B') :  0.05 :  0.10800119603879256 :   1.0 : False : False : NonNegativeReals
         (0.5, 'C') :  0.05 :  0.10800119603879264 :   1.0 : False : False : NonNegativeReals
         (0.5, 'D') :   0.0 :   1.7839976079224806 :   1.9 : False : False : NonNegativeReals
    (0.505168, 'B') :  0.05 :  0.10638979497392285 :   1.0 : False : False : NonNegativeReals
    (0.505168, 'C') :  0.05 :  0.10638979497392292 :   1.0 : False : False : NonNegativeReals
    (0.505168, 'D') :   0.0 :   1.7872204100522202 :   1.9 : False : False : NonNegativeReals
    (0.521498, 'B') :  0.05 :   0.1015771289998841 :   1.0 : False : False : NonNegativeReals
    (0.521498, 'C') :  0.05 :  0.10157712899988414 :   1.0 : False : False : NonNegativeReals
    (0.521498, 'D') :   0.0 :   1.7968457420002961 :   1.9 : False : False : NonNegativeReals
    (0.533333, 'B') :  0.05 :  0.09833443710065148 :   1.0 : False : False : NonNegativeReals
    (0.533333, 'C') :  0.05 :  0.09833443710065153 :   1.0 : False : False : NonNegativeReals
    (0.533333, 'D') :   0.0 :   1.8033311257987585 :   1.9 : False : False : NonNegativeReals
    (0.538501, 'B') :  0.05 :  0.09697805448708767 :   1.0 : False : False : NonNegativeReals
    (0.538501, 'C') :  0.05 :  0.09697805448708773 :   1.0 : False : False : NonNegativeReals
    (0.538501, 'D') :   0.0 :   1.8060438910258865 :   1.9 : False : False : NonNegativeReals
    (0.554832, 'B') :  0.05 :  0.09291286739059391 :   1.0 : False : False : NonNegativeReals
    (0.554832, 'C') :  0.05 :  0.09291286739059394 :   1.0 : False : False : NonNegativeReals
    (0.554832, 'D') :   0.0 :   1.8141742652188724 :   1.9 : False : False : NonNegativeReals
    (0.566667, 'B') :  0.05 :   0.0901613569847359 :   1.0 : False : False : NonNegativeReals
    (0.566667, 'C') :  0.05 :  0.09016135698473594 :   1.0 : False : False : NonNegativeReals
    (0.566667, 'D') :   0.0 :   1.8196772860305854 :   1.9 : False : False : NonNegativeReals
    (0.571835, 'B') :  0.05 :  0.08900743042523347 :   1.0 : False : False : NonNegativeReals
    (0.571835, 'C') :  0.05 :   0.0890074304252335 :   1.0 : False : False : NonNegativeReals
    (0.571835, 'D') :   0.0 :   1.8219851391495905 :   1.9 : False : False : NonNegativeReals
    (0.588165, 'B') :  0.05 :  0.08553792740560685 :   1.0 : False : False : NonNegativeReals
    (0.588165, 'C') :  0.05 :  0.08553792740560687 :   1.0 : False : False : NonNegativeReals
    (0.588165, 'D') :   0.0 :    1.828924145188842 :   1.9 : False : False : NonNegativeReals
         (0.6, 'B') :  0.05 :  0.08317983304775077 :   1.0 : False : False : NonNegativeReals
         (0.6, 'C') :  0.05 :  0.08317983304775078 :   1.0 : False : False : NonNegativeReals
         (0.6, 'D') :   0.0 :   1.8336403339045513 :   1.9 : False : False : NonNegativeReals
    (0.605168, 'B') :  0.05 :  0.08218845766083888 :   1.0 : False : False : NonNegativeReals
    (0.605168, 'C') :  0.05 :  0.08218845766083889 :   1.0 : False : False : NonNegativeReals
    (0.605168, 'D') :   0.0 :   1.8356230846783754 :   1.9 : False : False : NonNegativeReals
    (0.621498, 'B') :  0.05 :  0.07919896299954277 :   1.0 : False : False : NonNegativeReals
    (0.621498, 'C') :  0.05 :  0.07919896299954277 :   1.0 : False : False : NonNegativeReals
    (0.621498, 'D') :   0.0 :   1.8416020740009658 :   1.9 : False : False : NonNegativeReals
    (0.633333, 'B') :  0.05 :   0.0771594042186902 :   1.0 : False : False : NonNegativeReals
    (0.633333, 'C') :  0.05 :  0.07715940421869022 :   1.0 : False : False : NonNegativeReals
    (0.633333, 'D') :   0.0 :   1.8456811915626683 :   1.9 : False : False : NonNegativeReals
    (0.638501, 'B') :  0.05 :  0.07630001533556283 :   1.0 : False : False : NonNegativeReals
    (0.638501, 'C') :  0.05 :  0.07630001533556283 :   1.0 : False : False : NonNegativeReals
    (0.638501, 'D') :   0.0 :   1.8473999693289234 :   1.9 : False : False : NonNegativeReals
    (0.654832, 'B') :  0.05 :  0.07370159832788971 :   1.0 : False : False : NonNegativeReals
